latitude,longitude,altitude_m,east_m,north_m,up_m,tri_angle_deg,miss_distance_m,uncertainty_m,elevation_cam1_deg,elevation_cam2_deg,azimuth_cam1_deg,azimuth_cam2_deg,pixel_x_cam1,pixel_y_cam1,pixel_x_cam2,pixel_y_cam2,confidence
48.827194120709215,2.1937971879634572,16021.738003539853,-6116.902701785457,18993.005792639993,15856.830348415757,25.452516595575055,1770.401723836989,3568.8628960039346,49.194510877132416,30.807085633277893,358.02506616941645,334.5335918682833,504.0,280.0,367.2071,207.97676,0.33222356
48.87435470031253,2.513834339868464,16601.073753335513,17425.76356062001,24276.661923725107,16397.496770400387,25.72155765542686,2920.2981671564985,5868.094032139472,32.01882719993591,24.433904886245735,50.90614095962998,22.923385269748415,768.0,304.0,657.2828,168.45876,0.20873855
48.739611924306004,2.1285624020520393,3719.7749110357836,-10916.750960659358,9218.425572075554,3570.040685588754,24.40541003097029,1082.3333627204206,2187.0754108192973,25.175079703330997,10.18874108791352,294.34109098034395,314.87713730497074,176.0,360.0,190.25938,191.63626,0.25281942
48.7232376566002,2.1765631284767153,1979.1394255049527,-7384.519699793681,7388.699624456925,1836.8411603957916,35.217938046890765,417.1303596109285,860.426935780933,37.66557991504669,5.492466688156128,300.69971705986984,316.88731661921884,256.0,360.0,183.43573,161.04428,0.2705962
48.797424812808096,2.3371658815461163,15466.49254021328,4438.518082142995,15671.225019797306,15311.979183112187,36.286374152066934,3330.8343002123615,6668.33006418512,53.194915652275085,32.55591809749604,43.45185008439648,1.3455029769846127,656.0,360.0,519.6735,185.29713,0.24744
48.798852171711644,2.3454506107590425,15621.173001252115,5048.6326619186775,15831.23874348668,15465.813746401616,36.02178641663601,3297.7531265977486,6602.436677873928,52.21398085355759,32.6093316078186,44.9999978371445,2.800728460673837,664.0,360.0,527.95306,185.90085,0.48655486
48.727311477095846,2.0681143565489752,8136.367246987298,-15379.784935431411,7865.621373813445,7979.284103174397,27.763405709083745,3358.2893406545722,6727.320731382123,41.50985598564148,16.380985379219062,286.85840017854156,301.0320125931801,248.0,432.0,153.12999,296.09616,0.40880418
48.72554079748987,2.061517364269582,8582.68203180004,-15867.40675865559,7670.35047742492,8424.64766345299,27.71684153482254,3471.198896950796,6953.1577447635555,41.89885139465332,17.02729046344757,285.2551157237186,299.9851973104165,248.0,440.0,152.43013,304.52606,0.35265568
48.76252365632182,2.7674132539383525,10205.400616948493,36119.39424041978,11885.235766712673,9958.666597207264,21.73691084358394,2376.64394571334,4824.167114608721,11.842349767684938,17.382522225379944,81.72410817398384,60.03864687997604,952.0,448.0,869.9054,305.685,0.2080109
48.72188810922084,2.0334105120095467,17674.389355182648,-17964.860845992145,7280.195399851411,17511.308873683654,26.828779637147107,2583.388164877613,5183.885769941731,50.59989720582962,34.81962740421295,272.04540692550887,302.3824502751184,288.0,504.0,246.90132,343.8771,0.26440004
48.63963895463956,1.8843839751941232,6985.384813514538,-28958.94092973842,-1842.5469442717454,6785.8222934519135,25.7380768855467,638.8387041299683,1384.2698197311493,15.734551548957828,10.67823350429535,251.2219633160809,277.31654394576367,112.0,648.0,64.42154,454.53247,0.21518375
48.66357793478599,2.040872487945134,5535.090422824025,-17401.399903014768,774.7246602930704,5377.6206387199145,39.53181328744744,2721.671113672658,5446.753464747938,16.32270097732544,16.071737408638,246.37062338259338,287.75018382752427,128.0,680.0,111.45164,383.78204,0.20384592
48.560627617780135,2.4584335706414935,19816.97484022472,13441.29834789628,-10718.428694466224,19660.144402529906,26.78302115360083,3484.499536920089,6982.799384167627,37.9497492313385,64.87379014492035,128.4180612271832,128.95957228496016,744.0,696.0,623.14886,601.8768,0.22825435
48.568199134087514,2.458243748600139,16707.16446162481,13418.72624597841,-9869.080034251348,16551.738766098904,28.51057863137571,3511.1440034372067,7032.920350208914,33.75,62.36934453248978,126.86990322915143,124.79520594800337,768.0,704.0,641.0821,601.69836,0.62334186
48.564179566382144,2.450047986543431,16695.811923395842,12813.274915223263,-10318.621824161786,16540.915334554524,28.805350136489405,3240.7246515741117,6492.593642694422,33.9966344833374,62.9441499710083,128.88449484560337,128.7055302289707,760.0,712.0,632.1128,608.2475,0.29916048
48.58169312472385,2.4259999743453817,17062.993934397586,11030.529166958091,-8370.22935814182,16914.265641532525,33.08250666065288,3408.7658758080497,6824.260689294379,39.2774373292923,65.6363233923912,136.1233069129013,100.70899463243863,712.0,720.0,648.1883,537.7552,0.26854306
48.56643851271929,2.455128429921401,17273.06012291275,13189.831518983974,-10066.810877712616,17117.80310569206,28.55616410293671,3271.557812968174,6553.823161768034,36.30407989025116,59.18671041727066,135.00000034162267,108.39440544880702,728.0,728.0,678.3371,567.31494,0.24786626
48.4733480379223,2.51642206091425,19040.56147344783,17763.20022420847,-20439.732089259323,18849.507534092827,14.567024632175857,4666.84069616162,9380.337125432115,29.80987250804901,42.114946246147156,142.5946516042999,132.7298093860505,720.0,784.0,712.104,696.84344,0.21124907
48.506111804865576,2.3587157061802144,17721.782495506108,6062.518574583587,-16806.690024186486,17563.0594594753,27.102278342973225,3530.3059111609864,7073.598704870383,33.85556638240814,60.617062747478485,157.932100932752,165.88755010814603,632.0,808.0,552.757,674.1113,0.27014408
48.50651394760903,2.3559305274936477,16820.50781837944,5855.274134165728,-16759.70043716929,16662.097464073402,27.430606979155748,3654.428368569591,7320.708955884928,32.549909949302666,59.59532618522645,158.4590227064618,166.6210441231137,632.0,816.0,552.0234,680.2746,0.36251116
48.49166777396057,2.4200354986242725,7309.258588721044,10591.924098000778,-18380.624107222895,7140.257850226465,12.633772755475308,3840.925095882921,7725.575191857557,14.467223882675171,26.862709522247314,151.04900511742835,147.8567796050395,720.0,888.0,703.0978,816.12604,0.22146435
